guid,title,pubDate,description,link,media
http://www.hindustantimes.com/business-news/tata-sons-appoints-natarajan-chandrasekaran-as-new-chairman-succeeds-ratan-tata/story-P8GPdnxqPuCqgwLWzGhFIJ.html,"Tata Sons appoints Natarajan Chandrasekaran as new chairman, succeeds Ratan Tata","Thu, 12 Jan 2017 02:01:21 GMT ",India’s $100 billion salt-to-software conglomerate Tata Sons named Natarajan Chandrasekaran as their new chairman on Thursday,http://www.hindustantimes.com/business-news/tata-sons-appoints-natarajan-chandrasekaran-as-new-chairman-succeeds-ratan-tata/story-P8GPdnxqPuCqgwLWzGhFIJ.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/chandrasekaran-during-speaks-consultancy-services-conference-executive_c0ec4b5a-d8cd-11e6-a473-4fa7bf176867.jpg
http://www.hindustantimes.com/assembly-elections/ec-looking-into-complaint-that-mann-incited-mobs-to-throw-stones-at-akali-leaders/story-vsHua0TMO0KNx5xxLd5GkL.html,Not funny: Bhagwant Mann under EC probe for saying 'throw stones' at Akalis,"Thu, 12 Jan 2017 01:32:23 GMT ","The AAP, making its Punjab assembly poll debut, is locked in a bitter fight with the Akali Dal that has been ruling the state with coalition partner BJP for the past decade.",http://www.hindustantimes.com/assembly-elections/ec-looking-into-complaint-that-mann-incited-mobs-to-throw-stones-at-akali-leaders/story-vsHua0TMO0KNx5xxLd5GkL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/aap-rally_c2b72470-d8c6-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/cricket/ajinkya-rahane-finds-form-seals-india-a-win-over-england-ahead-of-odis/story-N3qUfjhpq5bprVLGCNiCoM.html,"Ajinkya Rahane finds form, seals India A win over England ahead of ODIs","Thu, 12 Jan 2017 01:12:20 GMT ",Ajinkya Rahane found some form ahead of the ODI series as he led India A to  thumping win over England in the second and final warm-up game in Brabourne.,http://www.hindustantimes.com/cricket/ajinkya-rahane-finds-form-seals-india-a-win-over-england-ahead-of-odis/story-N3qUfjhpq5bprVLGCNiCoM.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/mumbai-tuesday-match-january-overs-india-england_67dbb200-d8c6-11e6-bfdf-9650955a20b7.jpg
http://www.hindustantimes.com/autos/maruti-ignis-launches-on-jan-13-five-cars-that-threaten-its-success/story-HgKJ7JAHZYLXe7gB7FuHmL.html,Maruti Ignis launches on Jan 13: Five cars that threaten its success,"Thu, 12 Jan 2017 12:33:04 GMT ","Ignis has a tough competition already, from Hyundai, Mahindra, Tata or even its own family-- Maruti Suzuki.",http://www.hindustantimes.com/autos/maruti-ignis-launches-on-jan-13-five-cars-that-threaten-its-success/story-HgKJ7JAHZYLXe7gB7FuHmL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/_e48e3f3c-d8b4-11e6-bfdf-9650955a20b7.jpg
http://www.hindustantimes.com/delhi/delhi-continues-to-freeze-temperature-falls-to-5-year-low-on-thursday-morning/story-P8YqN0X0bK47kZb2VDybIJ.html,Delhi temperature drop continues: City records coldest January 12 in five years,"Thu, 12 Jan 2017 11:18:22 GMT ",A cold wave gripped Delhi and NCR as the minimum temperature on Thursday morning dropped to 3.4 degree Celsius -- the lowest on this date in five years. ,http://www.hindustantimes.com/delhi/delhi-continues-to-freeze-temperature-falls-to-5-year-low-on-thursday-morning/story-P8YqN0X0bK47kZb2VDybIJ.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/temperature-subsequently-hindustan-thursday-commuters-wednesday-themselves_c48020a8-d87c-11e6-bfdf-9650955a20b7.jpg
http://www.hindustantimes.com/business-news/what-can-payments-banks-do-5-things-to-know-before-putting-money-in-airtel-or-paytm/story-LCKr8d9gnWHowd2AZbb4KP.html,Airtel or Paytm: 5 things to know before putting money in a payments bank,"Thu, 12 Jan 2017 10:32:30 GMT ","Payments banks are stripped down versions of banks that have existed for decades. The Reserve Bank of India, in 2015, gave licences 11 companies, including Reliance Industries, Aditya Birla Nuvo, Paytm, Airtel and Vodafone, to open payments banks.",http://www.hindustantimes.com/business-news/what-can-payments-banks-do-5-things-to-know-before-putting-money-in-airtel-or-paytm/story-LCKr8d9gnWHowd2AZbb4KP.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/_ecdc8894-d8ad-11e6-a473-4fa7bf176867.JPG
http://www.hindustantimes.com/india-news/curbs-on-h1b-visas-used-by-indian-workers-in-us-trump-aide-hints-at-changes/story-9fBSl5MWv3a7kUdSeegVHN.html,"H-1B visa curbs coming, says Donald Trump's pick for US attorney general","Thu, 12 Jan 2017 06:42:29 GMT ",US President-elect Donald Trump’s nominee for the post of attorney general has assured lawmakers of taking steps towards pushing legislative measures to curb misuse of H-1B and L1 work visas significantly used by Indian IT professionals.,http://www.hindustantimes.com/india-news/curbs-on-h1b-visas-used-by-indian-workers-in-us-trump-aide-hints-at-changes/story-9fBSl5MWv3a7kUdSeegVHN.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/senator-arriving-sessions-president-mobile-alabama-donald_23e31654-d87d-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/india-news/dhaba-bites-anger-against-desecration-politics-runs-deep-in-villages-of-punjab-s-malwa/story-tTSfr5hpeck3Z2lDfAZkHL.html,Punjab polls: Anger over desecration politics in Malwa might hurt Badals,"Thu, 12 Jan 2017 05:46:54 GMT ",Anger runs deep in this politically crucial Malwa region that holds more than half of Punjab’s 117 assembly seats as the dominant Sikh community views the desecration as an insult.,http://www.hindustantimes.com/india-news/dhaba-bites-anger-against-desecration-politics-runs-deep-in-villages-of-punjab-s-malwa/story-tTSfr5hpeck3Z2lDfAZkHL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/bathinda-deceased-december29-correspondent-kotkapura-hindustan-aggrieved_8f04055e-d86b-11e6-a473-4fa7bf176867.jpg
http://www.hindustantimes.com/india-news/sp-and-cong-set-to-reach-deal-on-fighting-up-elections-together/story-jqgh7e8wHXV8tBXSQXZbCN.html,SP and Cong set to reach deal on fighting UP elections together,"Thu, 12 Jan 2017 05:44:26 GMT ",Rahul Gandhi and Akhilesh Yadav haven’t formally met but sources say a broad understanding through ‘intermediaries’ and ‘telephonic discussions’ has been achieved.,http://www.hindustantimes.com/india-news/sp-and-cong-set-to-reach-deal-on-fighting-up-elections-together/story-jqgh7e8wHXV8tBXSQXZbCN.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/12/Pictures/rahul-gandhi-at-jan-vedna-sammelan_562f72d2-d888-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/punjab/punjab-polls-congress-leaders-meet-navjot-sidhu-at-his-delhi-home/story-VJ7tQJzK9NLOQ1TaaZuzgI.html,Punjab polls: Congress leaders meet Navjot Sidhu at his Delhi home,"Wed, 11 Jan 2017 06:54:04 GMT ",There is a feeling that Sidhu’s joining and campaign in Holy City will bolster the campaign of congress candidates in the city ,http://www.hindustantimes.com/punjab/punjab-polls-congress-leaders-meet-navjot-sidhu-at-his-delhi-home/story-VJ7tQJzK9NLOQ1TaaZuzgI.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/navjot-singh-sidhu-file-photo_4c4a771e-d7b4-11e6-a473-4fa7bf176867.jpg
http://www.hindustantimes.com/delhi/haphazard-trifurcation-to-blame-for-the-civic-mess-says-ex-chief-secretary-omesh-saigal/story-N1zp801DZNLaNItMvKkwQO.html,"Trifurcation the root cause of Delhi municipality's garbage woes, writes ex-chief...","Wed, 11 Jan 2017 06:11:10 GMT ","The present ‘garbage mess’ in East Delhi — not the first and, if the present state of affairs continue, certainly not the last — created by an aggrieved sanitation staff not paid their salaries, has raised the question: Why? Why does it repeatedly happen and who is responsible?",http://www.hindustantimes.com/delhi/haphazard-trifurcation-to-blame-for-the-civic-mess-says-ex-chief-secretary-omesh-saigal/story-N1zp801DZNLaNItMvKkwQO.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/mcd-workers_dbdc02c4-d7a7-11e6-a473-4fa7bf176867.jpg
http://www.hindustantimes.com/assembly-elections/stage-set-for-rahul-akhilesh-alliance-all-eyes-on-ec-order-on-sp-poll-symbol/story-Vit8SqRLkwG5QTexC222SO.html,"Stage set for Rahul-Akhilesh alliance, all eyes on EC order over SP poll symbol","Wed, 11 Jan 2017 05:53:58 GMT ","The Congress and the Samajwadi Party will finalise an alliance in Uttar Pradesh after the election commission (EC) gives its ruling on claims by competing faction in the state’s ruling party’s on its election symbol, the bicycle, sources said  on Wednesday. ",http://www.hindustantimes.com/assembly-elections/stage-set-for-rahul-akhilesh-alliance-all-eyes-on-ec-order-on-sp-poll-symbol/story-Vit8SqRLkwG5QTexC222SO.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/htls02-akhilesh_8d64ecf4-d7c1-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/india-news/rahul-to-continue-protest-against-anti-poor-govt-chair-meet-on-demonetisation/story-tpnkKkW1nYLHKrZEuHfMlJ.html,"Rahul to continue protest against 'anti-poor' govt, chair meet on demonetisation","Wed, 11 Jan 2017 05:51:43 GMT ","In an attempt to make the scrapping of Rs 500 and Rs 1000 notes a key issue in the upcoming assembly elections in five states, the Congress is organising a day-long national convention against the “anti-poor” policies of the BJP-led NDA government on Wednesday.",http://www.hindustantimes.com/india-news/rahul-to-continue-protest-against-anti-poor-govt-chair-meet-on-demonetisation/story-tpnkKkW1nYLHKrZEuHfMlJ.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/congress-132nd-foundation-day_c4ceeab6-d7b0-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/world-news/trump-s-choice-for-us-attorney-general-says-he-can-stand-up-to-him/story-7GXbLsYUUz9q18oZDXc37K.html,Trump's choice for US attorney general says he can stand up to him,"Wed, 11 Jan 2017 04:05:29 GMT ","US President-elect Donald Trump’s pick for attorney general, Jeff Sessions, promised on Tuesday to stand up to Trump, his close ally and future boss, saying he would oppose a ban on Muslims entering the country and enforce a law against waterboarding even though he voted against the measure.",http://www.hindustantimes.com/world-news/trump-s-choice-for-us-attorney-general-says-he-can-stand-up-to-him/story-7GXbLsYUUz9q18oZDXc37K.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/hearing-jeff-sessions-testifies-confirmation-his-senate_0e728464-d7b3-11e6-a260-7aa04c68bc63.jpg
http://www.hindustantimes.com/delhi/not-paid-for-two-months-civic-docs-may-strike-work-in-delhi/story-p1Qh8sh0zhRKju66SpJz7O.html,"Not paid for two months, civic docs may strike work in Delhi","Wed, 11 Jan 2017 03:09:51 GMT ","The busiest of its hospitals, Hindu Rao in north Delhi, alone caters to close to 4,000-5,000 outpatient department (OPD) patients each day, with a staff strength of 2,000. ",http://www.hindustantimes.com/delhi/not-paid-for-two-months-civic-docs-may-strike-work-in-delhi/story-p1Qh8sh0zhRKju66SpJz7O.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/garbage_4bf63a54-d7ab-11e6-a473-4fa7bf176867.jpg
